Block Position,Hook Load,PVT,Time,Note,Note_Param,Zone_Line,,,,,,Depth,ROP,WOB,RPM,Torque,SPP,SPM,Flow Out
6.429999828,92.19999695,66.80000305,1:16:00 AM,,,,,,,,,,,,0,0,65,0,
5.230000019,81.5,66.72000122,1:16:10 AM,Unable to pull out the drillstring,Block Position,,,,,,,,,,0,0,65,0,
3.829999924,67.80000305,66.73999786,1:16:20 AM,,,,,,,,,,,,0,0,65,0,
3.569999933,74.30000305,66.83000183,1:16:30 AM,,,,,,,,,,,,0,0,59,0,
3.269999981,74.80000305,66.76000214,1:16:40 AM,,,,,,,,,,,,0,0,65,0,
3.059999943,76.80000305,66.77999878,1:16:50 AM,,,,,,,,,,,,0,0,65,0,
3.549999952,78.80000305,66.76000214,1:17:00 AM,,,,,,,,,,,,0,0,65,0,
4.039999962,80.59999847,66.76000214,1:17:10 AM,,,,,,,,,,,,0,0,59,0,
4.300000191,82.09999847,66.75,1:17:20 AM,,,,,,,,,,,,0,0,59,0,
4.739999771,82.40000153,66.79000092,1:17:30 AM,Working the String Dry,Block Position,,,,,,,,,,0,0,59,0,
5.010000229,83.90000153,66.69999695,1:17:40 AM,,,,,,,,,,,,0,0,65,0,
5.059999943,83.69999695,66.70999908,1:17:50 AM,,,,,,,,,,,,0,0,65,0,
5.360000134,85.19999695,66.66999817,1:18:00 AM,,,,,,,,,,,,0,0,65,0,
5.860000134,84.90000153,66.80999756,1:18:10 AM,,,,,,,,,,,,0,0,59,0,
6.170000076,84.09999847,66.79000092,1:18:20 AM,,,,,,,,,,,,0,0,65,0,
6.610000134,84.80000305,66.76000214,1:18:30 AM,,,,,,,,,,,,0,0,65,0,
6.909999847,87.30000305,66.70999908,1:18:40 AM,,,,,,,,,,,,0,0,59,0,
7.179999828,90.5,66.77999878,1:18:50 AM,,,,,,,,,,,,0,0,65,0,
7.389999866,93.8999939,66.75,1:19:00 AM,,,,,,,,,,,,0,0,65,0,
7.570000172,97.30000305,66.76000214,1:19:10 AM,,,,,,,,,,,,0,0,65,0,
7.710000038,98.8999939,66.81999969,1:19:20 AM,,,,,,,,,,,,0,0,65,0,
7.210000038,96.3999939,66.81999969,1:19:30 AM,,,,,,,,,,,,0,0,65,0,
6.079999924,88,66.76000214,1:19:40 AM,,,,,,,,,,,,0,0,65,0,
