Time of Data Collect,Kelly Position,Torque at rotary,RPM at rotary,HKLD,SPP,,PVT,SPM1,SPM2,SPM3,Trip Tank,RPM
28/3/2026 1:11,2.680000067,4152,60,116,27668,28/3/2026 1:11,60.16999817,84,0,0,3.145999908,60
28/3/2026 1:11,2.680000067,4054,60,115.8000031,27768,28/3/2026 1:11,60.15999985,84,0,0,3.147000074,60
28/3/2026 1:11,2.680000067,3986,60,115.9000015,27807,28/3/2026 1:11,60.15999985,84,0,0,3.144999981,60
28/3/2026 1:12,2.670000076,3856,60,115.8000031,27887,28/3/2026 1:12,60.15000153,84,0,0,3.145999908,60
28/3/2026 1:12,2.670000076,3940,60,115.6999969,27966,28/3/2026 1:12,60.15999985,84,0,0,3.145999908,60
28/3/2026 1:12,2.670000076,3948,60,115.6999969,28006,28/3/2026 1:12,60.15000153,84,0,0,3.147000074,60
28/3/2026 1:12,2.670000076,4111,60,116,28046,28/3/2026 1:12,60.15000153,84,0,0,3.150000095,60
28/3/2026 1:12,2.660000086,3968,60,115.6999969,27887,28/3/2026 1:12,60.27000046,84,0,0,3.151000023,60
28/3/2026 1:12,2.660000086,4290,60,115.8000031,28066,28/3/2026 1:12,60.16999817,84,0,0,3.15199995,60
28/3/2026 1:12,2.660000086,4296,60,115.8000031,27907,28/3/2026 1:12,60.15000153,84,0,0,3.15199995,60
28/3/2026 1:12,2.640000105,4047,60,115.8000031,27748,28/3/2026 1:12,60.15000153,84,0,0,3.153000116,60
28/3/2026 1:12,2.640000105,3968,60,115.9000015,27946,28/3/2026 1:12,60.15000153,84,0,0,3.15199995,60
28/3/2026 1:12,2.640000105,4015,60,115.8000031,27628,28/3/2026 1:12,60.15999985,84,0,0,3.148999929,60
28/3/2026 1:12,2.640000105,3782,60,115.6999969,27827,28/3/2026 1:12,60.15000153,84,0,0,3.147000074,60
28/3/2026 1:12,2.640000105,3984,60,115.5,27887,28/3/2026 1:12,60.06999969,84,0,0,3.145999908,60
28/3/2026 1:13,2.640000105,3961,60,115.5,28046,28/3/2026 1:13,60.04000092,84,0,0,3.144999981,60
28/3/2026 1:13,2.640000105,4208,60,115.3000031,27827,28/3/2026 1:13,60.06999969,84,0,0,3.145999908,60
28/3/2026 1:13,2.640000105,4225,60,115.3000031,28205,28/3/2026 1:13,60.09000015,84,0,0,3.147000074,60
28/3/2026 1:13,2.640000105,3950,60,115.3000031,28026,28/3/2026 1:13,60.06999969,84,0,0,3.145999908,60
28/3/2026 1:13,2.640000105,4444,60,115.3000031,27986,28/3/2026 1:13,60.06999969,84,0,0,3.144999981,60
28/3/2026 1:13,2.640000105,4189,60,115.4000015,28046,28/3/2026 1:13,60.09000015,84,0,0,3.144000053,60
28/3/2026 1:13,2.640000105,4102,60,115.3000031,27807,28/3/2026 1:13,60.08000183,84,0,0,3.144999981,60
28/3/2026 1:13,2.640000105,3641,60,115.4000015,27966,28/3/2026 1:13,60.08000183,84,0,0,3.145999908,60
