Block Position,Hook Load,PVT,Time,Note,Note_Param,Zone_Line,,,,Depth,ROP,WOB,RPM,Torque,SPP,SPM,Flow Out
2.234999895,28.93333244,246.9666719,10:07:55 AM,,,,,,,,,,,,,,
4.773333549,49,244.0166712,10:08:00 AM,,,,,,,,,,,,,,
9.858333588,48.53333282,237.6666546,10:08:05 AM,,,,,,,,,,,,,,
15.06499958,48.96666718,229.8666716,10:08:10 AM,,,,,,,,,,,,,,
19.99666595,49.3833313,223.7999916,10:08:15 AM,,,,,,,,,,,,,,
21.50499916,34.76666641,219.749999,10:08:20 AM,,,,,,,,,,,,,,
21.45999908,19.56666756,218.416667,10:08:25 AM,,,,,,,,,,,,,,
21.55833244,19.70000076,217.5166607,10:08:30 AM,,,,,,,,,,,,,,
21.67000008,19.83333206,217.0000076,10:08:35 AM,,,,,,,,,,,,,,
17.70833397,20.54999924,215.6000137,10:08:40 AM,,,,,,,,,,,,,,
3.193333387,19.45000076,214.6333218,10:08:45 AM,,,,,,,,,,,,,,
2.034999847,19.51666641,213.3500099,10:08:50 AM,,,,,,,,,,,,,,
3.541666508,43.58333206,210.800004,10:08:55 AM,,,,,,,,,,,,,,
8.556666374,49.71666718,204.4000149,10:09:00 AM,,,,,,,,,,,,,,
12.93666649,49.28333282,199.1999984,10:09:05 AM,,,,,,,,,,,,,,
16.11499977,49.73333359,193.599999,10:09:10 AM,,,,,,,,,,,,,,
18.34500122,49.95000076,190.2833343,10:09:15 AM,,,,,,,,,,,,,,
20.98666573,49.31666565,186.2166643,10:09:20 AM,,,,,,,,,,,,,,
21.67333412,48.96666718,184.2666626,10:09:25 AM,,,,,,,,,,,,,,
21.47999954,25.25,182.8999996,10:09:30 AM,,,,,,,,,,,,,,
21.45000076,19.35000038,181.766665,10:09:35 AM,,,,,,,,,,,,,,
21.56166649,19.64999962,179.9166679,10:09:40 AM,,,,,,,,,,,,,,
21.65833282,19.83333206,178.0833364,10:09:45 AM,,,,,,,,,,,,,,
17.16666603,20.38333321,176.699996,10:09:50 AM,,,,,,,,,,,,,,
3.130000114,19.70000076,174.9666691,10:09:55 AM,,,,,,,,,,,,,,
2.108333349,24.56666565,173.4666705,10:10:00 AM,,,,,,,,,,,,,,
4.38166666,47.83333206,170.4833388,10:10:05 AM,,,,,,,,,,,,,,
9.673333168,47.33333206,164.1666651,10:10:10 AM,,,,,,,,,,,,,,
15.47166634,47.54999924,156.8166733,10:10:15 AM,,,,,,,,,,,,,,
20.86833382,47.34999847,150.9333372,10:10:20 AM,,,,,,,,,,,,,,
21.43166733,33.59999847,146.5499997,10:10:25 AM,,,,,,,,,,,,,,
21.37999916,19.53333282,145.7666636,10:10:30 AM,,,,,,,,,,,,,,
21.43499947,19.58333397,144.2000031,10:10:35 AM,,,,,,,,,,,,,,
21.56333351,19.79999924,143.6166644,10:10:40 AM,,,,,,,,,,,,,,
21.29000092,20.01666641,141.7000055,10:10:45 AM,,,,,,,,,,,,,,
8.625,20.68333244,141.2500024,10:10:50 AM,,,,,,,,,,,,,,
2.069999933,19.08333397,139.3333316,10:10:55 AM,,,,,,,,,,,,,,
3.376666546,42.51666641,137.1166706,10:11:00 AM,,,,,,,,,,,,,,
10.07166672,46.3833313,129.6166658,10:11:05 AM,,,,,,,,,,,,,,
17.89999962,46.76666641,119.0166712,10:11:10 AM,,,,,,,,,,,,,,
